,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Brand,Model
74,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,10.940000000000001,6.46,Honda,Brio VX AT
75,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,55.61,29.5,Audi,A6 2.0 TDI Design Edition
76,Jaipur,2008,111111,Diesel,Manual,First,17.8,1399.0,89.84,5.0,11.27,2.0,Ford,Fiesta 1.4 SXi TDCi
77,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,23.25,4.5,Toyota,Innova 2.0 G1
78,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,23.25,11.75,Toyota,Innova 2.5 VX 7 STR BSIV
79,Hyderabad,2005,87591,Petrol,Manual,First,18.9,1086.0,82.0,5.0,9.76,1.3,Hyundai,Santro Xing XL
80,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,7.92,3.75,Maruti,Swift VDI
81,Pune,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,6.67,4.5,Tata,Zest Revotron 1.2T XE
82,Kochi,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,10.940000000000001,4.82,Honda,Amaze SX i-VTEC
83,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,11.27,2.8,Ford,Figo Diesel ZXI
84,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,7.92,3.11,Maruti,Ritz VDi
85,Delhi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,10.940000000000001,3.25,Honda,City i VTEC E
86,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,54.43,13.9,BMW,5 Series 2003-2012 525d
87,Pune,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,9.76,2.25,Hyundai,i10 Sportz 1.2
88,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,9.76,5.75,Hyundai,Grand i10 Sportz
89,Hyderabad,2007,73745,Petrol,Manual,First,17.0,1086.0,82.0,5.0,9.76,2.1,Hyundai,Santro Xing XO
90,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,10.940000000000001,5.0,Honda,Amaze SX i-VTEC
91,Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,23.25,16.5,Toyota,Fortuner 4x2 Manual
92,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,55.61,39.58,Audi,A6 2011-2015 35 TDI Premium
93,Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,11.27,5.5,Ford,Ecosport 1.5 DV5 MT Titanium Optional
94,Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,11.28,8.1,Mahindra,XUV500 W8 2WD
95,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,10.940000000000001,3.5,Honda,Amaze SX i-DTEC
96,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,11.26,2.79,Volkswagen,Polo Diesel Highline 1.2L
97,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,9.76,3.45,Hyundai,Verna Transform SX VGT CRDi
98,Bangalore,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,7.92,4.45,Maruti,Wagon R VXI BS IV
99,Delhi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,11.26,2.65,Volkswagen,Polo Petrol Highline 1.6L
100,Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,9.76,3.8,Hyundai,i20 1.4 CRDi Sportz
101,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,9.76,4.65,Hyundai,i20 Asta 1.2
102,Pune,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,6.45,3.95,Datsun,GO Plus T Petrol
103,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,55.61,9.8,Audi,A4 3.0 TDI Quattro Premium
104,Pune,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,9.76,2.7,Hyundai,i20 2015-2017 Asta
105,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,7.92,2.41,Maruti,Omni 5 Str STD
106,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,6.41,3.9,Toyota,Etios Liva 1.2 G
107,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,53.565,24.0,Jaguar,XF 3.0 Litre S Premium Luxury
108,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,11.28,5.75,Mahindra,XUV500 W8 2WD
109,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,9.76,5.25,Hyundai,Verna 1.6 SX CRDI (O) AT
110,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,27.0,19.25,Toyota,Innova Crysta 2.8 ZX AT
111,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,5.13,3.91,Maruti,Eeco 5 Seater AC
112,Bangalore,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,7.69,2.15,Tata,Nano Twist XT
113,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,54.43,20.75,BMW,3 Series 320d Luxury Line
114,Delhi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,10.940000000000001,3.35,Honda,Civic 2006-2010 1.8 V MT
115,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,23.25,11.11,Toyota,Innova 2.5 VX (Diesel) 7 Seater
116,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,45.67,20.0,Volvo,V40 Cross Country D3
117,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,9.51,6.55,Nissan,Micra XV CVT
118,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,54.43,7.0,BMW,5 Series 2010-2013 525i
119,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.96,7.5,Maruti,Vitara Brezza VDi
120,Mumbai,2005,102000,Petrol,Manual,Second,17.0,1086.0,82.0,5.0,9.76,0.85,Hyundai,Santro Xing XL eRLX Euro III
121,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,70.85,16.75,Mercedes-Benz,B Class B200 CDI
122,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,14.44,10.95,Hyundai,Verna CRDi 1.6 SX Option
123,Pune,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,7.92,2.45,Maruti,Wagon R LXI BS IV
124,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,7.69,3.23,Tata,Nano XTA
125,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,11.28,7.75,Mahindra,Scorpio VLX
126,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,70.85,9.35,Mercedes-Benz,New C-Class 200 K AT
127,Pune,2013,89900,CNG,Manual,First,26.6,998.0,58.16,5.0,7.92,3.25,Maruti,Wagon R LXI CNG
128,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,10.940000000000001,5.25,Honda,CR-V 2.4 MT
129,Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,11.26,7.25,Volkswagen,Vento 1.5 TDI Comfortline AT
130,Kochi,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7.92,7.47,Maruti,Ciaz VXi Plus
131,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,11.28,13.25,Mahindra,XUV500 AT W10 FWD
132,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,7.92,5.81,Maruti,Ritz VXI ABS
133,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,4.53,2.6,Maruti,Alto K10 VXI
134,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,95.04,54.0,Mercedes-Benz,SLC 43 AMG
135,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,13.49,11.5,Hyundai,Verna VTVT 1.6 AT SX Plus
136,Chennai,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,7.92,1.6,Maruti,Alto LXi BSIII
137,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,54.43,17.22,BMW,1 Series 118d Base
138,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,10.940000000000001,6.0,Honda,Jazz 1.2 V CVT i VTEC
139,Delhi,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,10.940000000000001,3.95,Honda,Civic 2006-2010 1.8 V MT
140,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,70.85,17.95,Mercedes-Benz,New C-Class C 220 CDI Avantgarde
141,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,10.940000000000001,3.7,Honda,Amaze SX i-DTEC
142,Kochi,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,7.92,5.43,Maruti,Swift VVT VXI
143,Kochi,2008,80759,Petrol,Manual,Third,17.0,1086.0,82.0,5.0,9.76,1.67,Hyundai,Santro Xing XO eRLX Euro II
144,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,23.25,13.49,Toyota,Fortuner 3.0 Diesel
145,Pune,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,,2.85,Chevrolet,Beat LT Option
146,Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,31.365000000000002,4.75,Skoda,Rapid 1.5 TDI Elegance
147,Kochi,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7.92,9.9,Maruti,Ciaz 1.4 Alpha
148,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,128.0,37.0,Audi,RS5 Coupe
149,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,60.88,26.5,BMW,3 Series Luxury Line
150,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,55.61,23.32,Audi,A4 2.0 TDI 177 Bhp Premium Plus
151,Chennai,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,7.92,6.25,Maruti,Swift VDI
152,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,70.85,30.0,Mercedes-Benz,S Class 2005 2013 S 500
153,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,31.365000000000002,9.86,Skoda,Rapid 1.5 TDI AT Elegance Plus Black Package
154,Pune,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,31.365000000000002,8.5,Skoda,Superb Elegance 2.0 TDI CR AT
155,Kochi,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,9.76,4.23,Hyundai,EON Magna Plus
156,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,11.26,3.5,Volkswagen,Polo Diesel Trendline 1.2L
157,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,4.05,2.5,Datsun,GO NXT
158,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,10.940000000000001,2.39,Honda,Brio S MT
159,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,70.85,11.25,Mercedes-Benz,B Class B180
160,Kochi,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,10.940000000000001,7.11,Honda,City i DTEC V
161,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,23.25,10.9,Toyota,Innova 2.5 G (Diesel) 7 Seater
162,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,7.92,6.2,Maruti,Swift VXI Optional
163,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,11.28,7.9,Mahindra,XUV500 W8 2WD
164,Kochi,2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,11.27,4.42,Ford,Ecosport 1.5 DV5 MT Ambiente
165,Mumbai,2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,23.25,13.5,Toyota,Fortuner 4x2 Manual
166,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,11.26,6.25,Volkswagen,Vento 1.5 Highline Plus AT 16 Alloy
167,Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,11.27,2.1,Ford,Figo Diesel Titanium
168,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,54.43,45.0,BMW,X5 xDrive 30d
169,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,70.85,33.66,Mercedes-Benz,New C-Class C 220 CDI Style
170,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,10.940000000000001,3.65,Honda,Brio V MT
171,Delhi,2013,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,9.76,2.75,Hyundai,i10 Magna 1.2
172,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,70.85,42.5,Mercedes-Benz,GLC 220
173,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,7.39,6.5,Hyundai,Grand i10 1.2 Kappa Asta
174,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,55.61,19.0,Audi,A6 2011-2015 2.0 TDI Premium Plus
175,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,11.26,4.45,Volkswagen,Vento Petrol Highline AT
176,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,42.3,23.0,Mini,Countryman Cooper D
177,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,9.76,8.35,Hyundai,i20 Asta 1.4 CRDi
178,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,55.61,22.95,Audi,A6 2011-2015 2.0 TDI Premium Plus
179,Jaipur,2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,,1.5,Chevrolet,Beat Diesel LT
180,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,31.365000000000002,6.89,Skoda,Superb Elegance 1.8 TSI AT
181,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,11.27,1.45,Ford,Fiesta 1.4 TDCi EXI Limited Edition
182,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,69.47,33.5,BMW,5 Series 520d Luxury Line
183,Jaipur,2007,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,,1.25,Chevrolet,Optra Magnum 1.6 LS BS3
184,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,11.26,4.2,Volkswagen,Polo Diesel Highline 1.2L
185,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,12.69,6.75,Renault,Lodgy 110PS RxZ 8 Seater
186,Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,70.85,32.0,Mercedes-Benz,E-Class E250 CDI Avantgrade
187,Kochi,2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,8.78,7.5,Maruti,Baleno Alpha
188,Delhi,2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,9.76,4.6,Hyundai,Verna 1.6 SX
189,Kochi,2017,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,9.76,4.04,Hyundai,i10 Magna 1.1
190,Kochi,2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,11.28,10.31,Mahindra,Scorpio 1.99 S10 4WD
191,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,120.0,55.76,Land Rover,Rover Range Rover 2.2L Dynamic
192,Chennai,2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,11.27,2.6,Ford,Figo Diesel ZXI
193,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,12.74,8.5,Maruti,Ertiga ZDI
194,Ahmedabad,2007,60006,Petrol,Manual,First,17.8,1497.0,98.6,5.0,10.940000000000001,2.95,Honda,City 1.5 GXI
195,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,10.940000000000001,3.5,Honda,Amaze S i-Dtech
196,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,9.76,3.55,Hyundai,i10 Magna
197,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,10.940000000000001,3.25,Honda,Amaze S i-Dtech
